"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|PT","04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","325","n/e","n/e","1612","0","n/e","n/e","n/e","n/e","2119","1","2317","1302","n/e","n/e","26","n/e","146","n/e","3","485"
"BZN|PT","04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","316","n/e","n/e","1609","0","n/e","n/e","n/e","n/e","1406","2","1985","1267","n/e","n/e","25","n/e","583","n/e","2","451"
"BZN|PT","04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","303","n/e","n/e","1598","0","n/e","n/e","n/e","n/e","842","2","2048","1243","n/e","n/e","26","n/e","931","n/e","1","367"
"BZN|PT","04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","319","n/e","n/e","1608","0","n/e","n/e","n/e","n/e","570","3","1757","759","n/e","n/e","27","n/e","1098","n/e","0","244"
"BZN|PT","04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","330","n/e","n/e","1568","0","n/e","n/e","n/e","n/e","490","166","1758","765","n/e","n/e","26","n/e","1141","n/e","0","171"
"BZN|PT","04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","331","n/e","n/e","1462","0","n/e","n/e","n/e","n/e","699","338","1835","770","n/e","n/e","26","n/e","1118","n/e","0","140"
"BZN|PT","04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","328","n/e","n/e","1455","0","n/e","n/e","n/e","n/e","717","68","1785","772","n/e","n/e","25","n/e","988","n/e","0","125"
"BZN|PT","04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST)","329","n/e","n/e","1459","0","n/e","n/e","n/e","n/e","655","38","2016","1198","n/e","n/e","27","n/e","710","n/e","0","113"
"BZN|PT","04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST)","331","n/e","n/e","1746","0","n/e","n/e","n/e","n/e","1373","140","2162","1328","n/e","n/e","26","n/e","261","n/e","0","170"
"BZN|PT","04.01.2023 18:00 - 04.01.2023 19:00 (CET/CEST)","337","n/e","n/e","1575","0","n/e","n/e","n/e","n/e","2786","1","2216","1428","n/e","n/e","26","n/e","10","n/e","0","320"
"BZN|PT","04.01.2023 19:00 - 04.01.2023 20:00 (CET/CEST)","341","n/e","n/e","1567","0","n/e","n/e","n/e","n/e","2703","1","2170","1425","n/e","n/e","26","n/e","0","n/e","0","402"
"BZN|PT","04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST)","339","n/e","n/e","1579","0","n/e","n/e","n/e","n/e","2796","1","2170","1384","n/e","n/e","25","n/e","0","n/e","0","474"
"BZN|PT","04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST)","335","n/e","n/e","1913","0","n/e","n/e","n/e","n/e","2397","1","2268","1396","n/e","n/e","27","n/e","0","n/e","1","509"
"BZN|PT","04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST)","331","n/e","n/e","1734","0","n/e","n/e","n/e","n/e","1627","1","2170","1314","n/e","n/e","27","n/e","0","n/e","2","618"
"BZN|PT","04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST)","331","n/e","n/e","1466","0","n/e","n/e","n/e","n/e","835","2","2077","1282","n/e","n/e","26","n/e","0","n/e","2","745"
"BZN|PT","05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST)","332","n/e","n/e","1259","0","n/e","n/e","n/e","n/e","990","36","2120","1247","n/e","n/e","26","n/e","0","n/e","4","847"
"BZN|PT","05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST)","334","n/e","n/e","847","0","n/e","n/e","n/e","n/e","646","245","1907","1300","n/e","n/e","27","n/e","0","n/e","0","913"
"BZN|PT","05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST)","330","n/e","n/e","889","0","n/e","n/e","n/e","n/e","748","292","1755","1321","n/e","n/e","27","n/e","0","n/e","0","953"
"BZN|PT","05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST)","331","n/e","n/e","833","0","n/e","n/e","n/e","n/e","700","424","1754","1228","n/e","n/e","27","n/e","0","n/e","0","1032"
"BZN|PT","05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST)","327","n/e","n/e","844","0","n/e","n/e","n/e","n/e","703","590","1730","1325","n/e","n/e","26","n/e","0","n/e","0","1204"
"BZN|PT","05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST)","332","n/e","n/e","936","0","n/e","n/e","n/e","n/e","708","390","1759","1356","n/e","n/e","26","n/e","0","n/e","0","1151"
"BZN|PT","05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST)","337","n/e","n/e","1338","0","n/e","n/e","n/e","n/e","741","75","1965","1329","n/e","n/e","25","n/e","0","n/e","0","989"
"BZN|PT","05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST)","335","n/e","n/e","1955","0","n/e","n/e","n/e","n/e","1378","109","2048","1425","n/e","n/e","25","n/e","0","n/e","0","915"
"BZN|PT","05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST)","327","n/e","n/e","2350","0","n/e","n/e","n/e","n/e","1981","6","2183","1429","n/e","n/e","26","n/e","1","n/e","0","755"
"BZN|PT","05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST)","334","n/e","n/e","2735","0","n/e","n/e","n/e","n/e","2429","1","2178","1444","n/e","n/e","26","n/e","135","n/e","0","616"
"BZN|PT","05.01.2023 10:00 - 05.01.2023 11:00 (CET/CEST)","335","n/e","n/e","2644","0","n/e","n/e","n/e","n/e","888","3","2158","1393","n/e","n/e","27","n/e","536","n/e","0","498"
"BZN|PT","05.01.2023 11:00 - 05.01.2023 12:00 (CET/CEST)","339","n/e","n/e","2594","0","n/e","n/e","n/e","n/e","749","231","2165","1380","n/e","n/e","27","n/e","867","n/e","0","349"
